name,warattack_JUL-AUG_2024,clancapital_JUL-AUG_2024,clangames_JUL-AUG_2024,clangamesmaxed_JUL-AUG_2024,clanscore_JUL-AUG_2024,warattack_AUG-SEP_2024,clancapital_AUG-SEP_2024,clangames_AUG-SEP_2024,clangamesmaxed_AUG-SEP_2024,clanscore_AUG-SEP_2024,warattack_SEP-OCT_2024,clancapital_SEP-OCT_2024,clangames_SEP-OCT_2024,clangamesmaxed_SEP-OCT_2024,clanscore_SEP-OCT_2024,warattack_OCT-NOV_2024,clancapital_OCT-NOV_2024,clangames_OCT-NOV_2024,clangamesmaxed_OCT-NOV_2024,clanscore_OCT-NOV_2024,warattack_NOV-DEC_2024,clancapital_NOV-DEC_2024,clangames_NOV-DEC_2024,clangamesmaxed_NOV-DEC_2024,clanscore_NOV-DEC_2024,warattack_DEC-JAN_2025,clancapital_DEC-JAN_2025,clangames_DEC-JAN_2025,clangamesmaxed_DEC-JAN_2025,clanscore_DEC-JAN_2025,warattack_JAN-FEB_2025,clancapital_JAN-FEB_2025,clangames_JAN-FEB_2025,clangamesmaxed_JAN-FEB_2025,clanscore_JAN-FEB_2025,warattack_FEB-MAR_2025,clancapital_FEB-MAR_2025,clangames_FEB-MAR_2025,clangamesmaxed_FEB-MAR_2025,clanscore_FEB-MAR_2025,warattack_MAR-APR_2025,clancapital_MAR-APR_2025,clangames_MAR-APR_2025,clangamesmaxed_MAR-APR_2025,clanscore_MAR-APR_2025,warattack_APR-MAY_2025,clancapital_APR-MAY_2025,clangames_APR-MAY_2025,clangamesmaxed_APR-MAY_2025,clanscore_APR-MAY_2025,warattack_MAY-JUN_2025,clancapital_MAY-JUN_2025,clangames_MAY-JUN_2025,clangamesmaxed_MAY-JUN_2025,clanscore_MAY-JUN_2025,warattack_JUN-JUL_2025,clancapital_JUN-JUL_2025,clangames_JUN-JUL_2025,clangamesmaxed_JUN-JUL_2025,clanscore_JUN-JUL_2025,warattack_JUL-AUG_2025,clancapital_JUL-AUG_2025,clangames_JUL-AUG_2025,clangamesmaxed_JUL-AUG_2025,clanscore_JUL-AUG_2025,warattack_AUG-SEP_2025,clancapital_AUG-SEP_2025,clangames_AUG-SEP_2025,clangamesmaxed_AUG-SEP_2025,clanscore_AUG-SEP_2025,warattack_SEP-OCT_2025,clancapital_SEP-OCT_2025,clangames_SEP-OCT_2025,clangamesmaxed_SEP-OCT_2025,clanscore_SEP-OCT_2025,warattack_OCT-NOV_2025,clancapital_OCT-NOV_2025,clangames_OCT-NOV_2025,clangamesmaxed_OCT-NOV_2025,clanscore_OCT-NOV_2025,warattack_NOV-DEC_2025,clancapital_NOV-DEC_2025,clangames_NOV-DEC_2025,clangamesmaxed_NOV-DEC_2025,clanscore_NOV-DEC_2025,warattack_DEC-JAN_2026,clancapital_DEC-JAN_2026,clangames_DEC-JAN_2026,clangamesmaxed_DEC-JAN_2026,clanscore_DEC-JAN_2026
Joyotri,0,6,0,0,6,4,12,0,0,16,0,12,0,0,12,0,12,0,0,12,3,26,1,0,30,2,2,0,0,4,3,6,1,0,10,0,25,1,1,27,20,23,1,1,45,19,24,0,0,43,4,23,0,0,27,0,12,0,0,12,0,23,1,0,24,10,24,1,0,35,10,24,1,1,36,8,24,1,1,34,12,29,1,1,43,14,24,1,1,40
.Nêmmlm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Díjú bháí,15,23,1,1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
MALAY,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1
kking,15,18,0,0,33,17,18,0,0,35,10,11,1,0,22,14,24,0,0,38,13,23,0,0,36,7,0,0,0,7,6,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jenoslegod,0,0,0,0,0,3,0,0,0,3,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pнanтoм,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rydoly,0,24,1,1,26,0,12,0,0,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
carlitos,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
junmel,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
